,Response
813,0
2111,0
1775,1
1662,0
768,0
770,0
2051,0
1252,1
2136,0
262,0
1181,0
213,0
821,0
1609,0
803,0
1202,0
1865,1
503,0
814,0
1832,0
39,1
2105,0
1759,0
1981,1
256,0
1736,0
718,0
1164,0
1664,0
1954,0
973,0
60,1
2197,0
1380,0
1342,1
1484,0
1444,0
1714,0
1903,0
204,0
0,1
407,0
1244,0
1508,0
584,0
2033,0
827,0
1381,0
2165,0
1790,0
2113,0
1942,0
1186,0
1011,0
351,0
673,0
216,0
2204,0
1267,0
639,0
17,0
1401,0
1584,1
1848,0
263,0
1223,0
1888,0
470,0
402,0
540,0
1527,0
1171,0
353,0
134,0
1717,0
1305,0
704,0
380,0
1429,0
634,1
498,0
1628,1
1554,0
253,0
1216,0
1318,0
979,0
1575,0
657,0
206,0
765,0
354,0
913,1
1235,0
716,1
538,0
1117,1
484,0
2044,0
1533,1
1302,0
19,0
1053,1
109,0
830,0
26,0
1416,0
1165,0
1643,0
1765,0
268,0
2188,0
2159,0
1314,0
469,0
526,0
1182,1
1834,1
591,1
1025,0
1395,0
1311,0
1754,0
1770,1
153,0
1471,0
1690,0
1639,0
1918,0
525,0
826,0
2047,0
16,0
1720,0
229,0
1356,0
1864,1
780,0
1454,0
2138,0
2028,1
194,0
2132,0
1093,0
127,0
373,0
1339,1
583,0
648,0
1170,0
852,0
1924,0
1741,0
384,0
1135,0
358,0
311,0
1991,0
119,0
1992,1
251,0
1347,0
446,0
117,0
14,0
1878,0
236,0
67,1
1712,0
2179,0
695,0
166,0
825,0
901,0
271,0
1898,0
937,0
904,0
635,0
83,0
125,0
324,0
530,0
1049,0
2066,0
115,0
609,0
1414,0
943,1
2147,0
2069,0
1921,0
1213,0
1301,1
731,0
1747,0
1423,0
1127,0
1045,0
1989,0
698,0
801,0
335,0
643,0
1118,0
1686,1
2036,0
1572,1
994,0
1678,0
1564,0
1130,0
1015,0
61,0
545,0
2184,0
224,0
382,0
105,0
1063,0
1185,0
171,0
2224,0
81,0
1389,0
677,0
670,0
1278,0
364,0
65,1
1054,0
188,0
1428,0
347,1
753,1
703,1
1247,0
235,0
561,0
1993,0
1835,0
1102,0
479,0
1325,0
1743,1
1018,0
277,0
749,1
2217,0
2214,0
982,0
1259,0
873,0
553,0
365,0
2142,0
1402,0
453,0
746,0
558,0
1081,1
381,0
1883,0
582,0
1866,0
1749,0
983,0
1960,0
991,0
776,0
655,0
1275,0
341,0
585,0
1516,0
1474,0
2185,0
424,0
208,0
1191,1
451,0
1815,0
1872,0
2,0
1459,1
1540,0
1854,1
395,0
702,0
404,1
905,0
1594,0
1002,1
2000,0
1943,0
587,0
1711,1
554,1
836,0
2104,0
338,1
841,0
1565,0
757,0
1129,1
2153,0
1239,0
69,0
1971,0
1964,0
9,0
790,0
1281,1
719,0
1977,0
349,0
1757,1
1841,1
816,0
618,0
524,1
712,0
226,0
1438,0
1255,1
811,1
252,1
1125,1
1983,0
1526,0
408,0
1858,0
2194,1
247,0
527,0
1194,0
659,0
379,0
1365,1
556,0
2221,1
1528,1
31,0
1705,0
985,0
178,0
1767,0
1795,0
369,0
1952,0
120,0
551,1
1941,0
574,0
1472,0
559,1
433,0
1929,0
1831,0
1173,0
1228,0
1354,1
1935,0
1843,0
1328,0
705,0
970,0
2048,1
1269,0
1675,0
693,0
1330,0
2019,0
1975,0
1370,0
1408,0
1824,0
1937,1
1773,0
2041,0
1998,0
291,0
598,0
327,0
1666,0
1513,0
418,1
1498,0
1105,0
1095,0
1449,0
1079,0
2116,0
619,0
1780,0
1398,0
1855,0
593,0
1086,0
1246,0
1478,0
376,1
2108,0
2161,0
132,0
1493,0
86,0
1288,1
1322,0
355,0
442,0
155,1
652,0
2070,0
1870,0
1027,0
1926,0
1009,0
1446,0
448,0
106,0
1635,0
98,0
2088,0
759,0
1153,1
956,1
1077,0
1805,0
2137,0
1618,0
15,1
463,0
1442,1
1371,0
732,0
1567,0
1367,0
999,0
709,1
1715,0
669,0
761,0
608,0
2106,0
1394,0
1419,0
2151,0
1013,0
342,0
2007,0
482,1
1680,0
1908,0
1057,0
1973,0
1372,0
576,0
838,0
650,0
1933,0
792,0
1781,0
861,0
483,0
1183,0
1532,0
1159,0
122,0
143,0
131,0
357,0
1167,0
536,0
638,1
7,0
1956,0
570,0
1187,0
2223,0
1796,0
1740,0
1266,1
2173,0
1604,0
1932,0
1560,0
139,0
1137,1
102,0
925,0
1718,0
2171,1
1084,1
730,0
707,0
515,0
1005,1
1750,1
1310,0
1265,1
2154,0
1827,1
2146,0
954,0
1001,1
159,0
1209,0
549,0
890,0
614,1
286,0
2107,1
1703,0
1140,0
1109,0
2177,0
297,0
1451,0
931,0
1804,0
337,0
575,1
1120,0
2025,0
2065,0
2092,0
2018,0
1922,1
797,0
1195,0
1292,0
616,0
1890,0
103,0
1634,0
588,0
2109,1
501,0
249,0
1168,0
1894,0
496,0
1697,0
1073,0
1505,0
1313,0
230,1
1193,0
855,0
2145,1
1022,1
988,0
1214,0
1733,0
1098,0
1148,0
791,1
1657,0
739,0
378,0
2166,0
916,0
1996,1
1353,0
542,0
1427,0
1649,0
1390,0
1632,0
1309,0
1462,0
457,1
823,0
228,0
1378,0
1745,0
1522,0
844,0
680,0
1179,0
509,0
147,0
1620,0
1392,0
1699,0
1886,0
1324,0
1617,0
840,0
581,0
928,0
1817,1
1557,0
331,0
2135,0
1316,0
359,0
2126,0
1814,0
678,1
329,0
547,0
1426,0
2035,0
595,1
2172,0
959,0
1251,0
2191,0
1674,0
880,1
737,0
2162,0
907,0
1995,1
2157,0
1590,0
601,0
1231,0
1006,0
1569,0
2042,0
1141,0
974,0
1149,1
1573,0
1596,0
1238,0
2144,0
1836,0
38,0
29,0
432,0
1534,0
2176,0
1744,0
1160,0
1114,0
1963,1
1608,0
645,0
1650,0
733,0
1163,0
295,0
773,0
567,0
2062,0
1545,0
1839,1
543,1
1792,0
1155,0
1225,0
1661,0
592,0
1264,1
1494,0
1909,0
2238,0
1343,0
2186,0
1809,0
476,0
1704,1
1116,1
391,0
918,0
443,0
713,0
883,0
180,0
316,0
1576,1
1161,0
1782,0
2206,0
1786,0
894,1
2080,0
510,0
422,0
1363,0
1806,0
1820,0
2134,0
774,0
1587,0
933,0
2031,0
566,0
637,0
486,0
261,0
842,0
454,0
927,0
2082,0
1465,0
1243,0
59,0
56,1
76,1
2212,0
824,1
636,0
675,0
1845,1
889,0
620,0
1605,0
1828,0
1591,0
423,1
21,0
2004,0
529,0
1477,0
189,0
1010,0
33,1
240,0
1713,0
1598,0
859,0
1048,1
860,0
149,0
1222,0
276,1
720,0
504,0
1816,0
629,0
415,0
1504,1
449,0
919,0
778,0
793,0
2207,0
2054,0
2094,1
1751,0
406,1
1536,0
47,0
2038,0
2015,0
1224,0
1124,0
807,0
649,0
340,0
742,0
1021,0
2124,0
1276,0
1895,0
1338,0
1706,0
405,0
1355,0
2005,0
794,0
2203,0
1510,0
2029,0
394,0
1899,0
352,1
473,0
62,0
1064,0
548,1
2237,0
317,0
923,0
815,0
1911,0
232,0
1071,0
1039,0
1274,0
1440,0
1080,0
1368,0
1946,1
987,1
413,0
738,0
1062,1
610,0
367,0
899,0
2049,0
1982,0
1004,0
1652,1
259,0
800,0
95,0
140,0
495,0
1203,1
1089,1
179,0
862,0
471,1
2130,0
2235,0
1014,0
35,0
834,0
920,0
2192,0
274,0
87,1
946,0
1479,0
563,0
2139,1
1974,0
136,0
2039,0
1131,0
45,0
1685,0
428,0
278,1
1469,0
436,0
2189,0
681,0
975,0
135,0
2057,0
2037,0
419,0
242,0
99,0
1644,0
195,0
1552,0
1914,0
891,0
926,0
1023,0
856,0
1507,0
2149,0
1738,0
1320,0
465,0
474,0
1614,1
2040,0
1902,0
389,0
85,0
1059,0
812,0
847,0
822,1
760,0
388,0
1904,0
627,1
1655,0
2131,1
1511,0
1345,0
977,0
560,0
1403,1
1722,1
239,0
1290,0
1520,1
2155,0
1030,1
79,1
2158,0
1208,0
493,0
896,1
1719,1
1682,0
157,0
1432,0
2023,0
1800,0
2229,0
1518,0
1778,0
612,0
874,0
1931,0
687,0
1443,1
968,1
487,0
579,0
124,1
1234,0
878,0
1448,0
1119,0
539,0
1829,1
917,1
1066,1
682,0
1647,0
665,0
2195,0
892,0
688,0
499,0
1708,0
1115,0
1176,0
303,0
1654,0
1331,1
1791,0
605,1
1517,0
288,0
772,1
1762,0
1142,0
1901,0
674,0
2156,0
756,1
1366,0
2100,0
292,0
1294,0
519,0
246,1
2096,0
1112,0
1955,0
1136,0
577,0
2118,0
971,0
2002,1
828,0
96,0
2110,0
2071,0
2233,0
1760,0
941,0
314,0
1550,0
998,0
976,0
374,1
1668,0
819,0
1521,0
1622,0
1139,0
1210,0
1450,0
281,0
951,0
758,0
1885,0
360,0
64,0
658,0
908,0
1570,1
2099,0
1758,0
472,1
1284,0
169,0
1624,0
2209,0
2160,1
1204,0
32,0
571,0
1067,0
51,0
1852,0
1683,0
450,0
202,0
172,0
1692,0
846,0
1134,1
607,0
1535,0
2232,0
174,0
1488,0
1293,0
1411,1
1876,1
214,0
1463,0
1177,0
651,0
336,1
22,0
2003,0
1501,0
129,0
1822,0
1138,0
532,0
146,1
254,0
1801,0
1285,0
101,0
1110,0
597,0
885,0
1728,0
1335,0
676,1
1211,0
1739,0
345,0
2095,0
2190,1
2010,0
736,0
992,0
2128,1
1482,0
1940,1
2117,0
477,0
209,1
1069,0
1953,1
1480,0
1180,0
995,0
1439,0
2193,1
1227,1
2213,0
1169,0
1648,1
401,0
1326,0
89,0
1319,0
1279,0
1631,0
1912,0
1359,0
1040,0
502,0
1007,0
1673,0
1725,1
2141,0
1287,0
3,0
2012,1
1586,1
820,1
953,0
250,0
779,0
1524,0
323,0
1341,0
986,0
1436,0
456,1
1132,0
1549,0
727,0
906,1
1694,0
2086,0
1966,0
2205,0
1684,0
1307,0
557,0
215,0
1566,0
989,0
1984,0
1616,0
1892,0
2115,0
848,0
882,0
30,0
1615,0
522,0
1043,0
1333,0
929,0
1029,0
787,1
1543,0
1056,0
1920,0
2215,0
2056,0
1756,0
1409,1
36,0
1447,0
1035,0
1286,1
1928,1
573,0
1492,1
642,0
552,0
1470,0
1172,0
1927,0
2068,0
1721,1
1336,0
2119,0
212,0
1217,0
804,1
1455,0
700,0
863,0
818,0
411,0
1052,0
466,1
66,0
1541,0
28,0
1270,0
191,0
1582,0
141,1
602,0
660,0
439,0
1406,0
400,0
1196,0
123,0
845,1
1126,0
767,0
572,0
1,0
1019,0
1295,0
745,0
393,0
1254,0
1369,0
869,0
624,0
2236,0
1297,0
1905,0
50,0
1008,0
1346,0
1350,0
1603,0
320,0
1847,0
1078,0
1233,0
1906,0
266,0
1987,0
1121,0
1812,0
594,0
1626,0
2129,0
1798,0
72,0
1111,1
628,0
1769,0
1122,0
1613,0
1377,1
912,1
273,0
633,1
290,0
858,0
361,0
1726,1
1693,0
1260,0
957,0
1976,0
112,0
546,1
1807,0
1481,0
2122,0
222,0
293,0
410,1
623,0
1735,0
489,0
854,1
788,0
1753,1
1687,1
653,0
184,0
2218,0
1430,0
1189,0
1097,0
82,0
513,0
107,0
1748,0
1681,0
334,0
1988,0
1396,0
921,0
1197,0
161,0
1986,0
879,0
1794,0
613,0
1360,0
1568,1
512,0
2163,0
898,0
1374,0
233,0
735,1
23,0
523,0
511,0
175,0
895,0
100,0
421,0
1874,0
534,0
1637,0
1452,1
2140,0
2174,0
1897,0
113,1
2043,0
949,0
1606,0
1046,0
2143,0
150,0
399,1
1437,0
1850,1
1038,1
1563,0
464,0
1042,0
1358,0
1106,0
104,1
1700,0
13,0
315,0
2032,0
1799,0
287,0
1665,0
1965,0
1092,0
969,0
165,0
1968,1
741,0
1910,0
1851,0
1593,0
1785,0
2170,0
1621,0
1945,0
397,1
344,1
1669,1
1990,1
2027,0
769,0
1671,0
2202,1
183,0
932,0
1100,1
864,0
1555,0
1262,0
1959,0
492,0
1085,0
310,0
1797,0
1867,0
158,0
1856,0
284,0
900,0
2055,0
1627,0
1840,0
1810,0
876,0
1460,0
1357,0
1144,0
1544,0
461,0
1803,1
960,0
217,0
302,0
160,0
309,0
1985,0
1037,0
1253,0
837,0
663,0
672,0
1884,0
2102,1
78,0
1980,0
1200,0
721,0
468,0
980,0
177,0
839,0
1539,0
1656,0
193,0
1351,1
993,0
686,1
420,0
1530,0
2114,0
1280,1
1936,1
1882,0
1578,0
1422,0
1192,0
1272,1
857,0
685,0
198,0
1723,0
871,0
219,0
750,0
692,0
94,0
2211,0
1660,0
1849,0
1972,1
80,0
1306,0
725,0
325,0
2006,0
348,0
1825,0
1695,0
2011,0
1248,0
689,0
1503,0
1592,0
137,0
1074,0
1944,0
806,0
2053,0
1298,1
786,0
173,0
696,0
431,0
301,0
199,1
1579,0
63,0
322,0
966,1
796,0
385,0
243,1
145,0
494,0
2178,0
1199,0
332,1
1879,0
154,0
533,0
1150,0
1724,1
20,0
1755,0
1151,0
396,0
491,0
223,0
1400,0
403,0
2001,0
2227,0
1041,0
1813,0
600,0
497,0
2164,0
1969,0
1659,1
1558,0
475,0
1476,0
897,0
947,0
1818,0
1277,0
1907,0
2150,0
1889,0
1783,0
564,0
182,0
164,0
888,0
1417,0
190,0
1207,0
480,0
1435,0
1128,0
37,0
111,1
535,0
521,0
784,0
438,0
238,0
289,0
1087,1
1779,0
1123,0
227,0
1364,0
2034,0
1808,1
88,0
257,0
710,0
265,0
1763,0
1101,0
307,0
1232,0
1143,0
647,0
1219,0
1458,1
984,1
1091,0
743,0
1846,0
114,0
1113,0
877,0
789,0
555,0
809,0
1441,0
192,0
1420,0
1862,0
170,0
138,1
1787,0
2121,0
1055,0
615,0
1923,0
849,0
210,0
481,0
275,0
1737,0
1391,0
518,0
1636,0
366,0
426,0
1099,0
1489,0
1962,0
1434,0
1672,1
1938,0
1332,0
2187,0
299,0
298,0
1509,0
1571,0
18,0
156,0
1034,0
1012,0
1589,0
1869,1
1352,0
1610,0
1215,1
1731,0
458,0
568,0
1881,1
771,0
1525,0
699,0
795,0
785,0
1837,0
435,0
2050,0
893,0
304,0
500,0
654,0
1707,0
962,1
565,0
478,0
1716,0
936,0
2083,0
1581,0
1421,0
1385,0
945,0
1245,0
870,0
1752,0
346,0
2008,0
1967,0
218,0
596,0
679,0
1742,1
2072,0
1823,0
1387,0
590,1
1157,0
1696,0
1017,0
1362,0
621,0
196,0
668,0
200,0
282,0
1050,0
1221,0
944,0
2182,0
130,0
1667,0
363,0
520,0
762,0
279,0
25,0
1663,0
1515,0
656,0
1821,0
1376,0
964,0
586,1
914,1
843,0
625,0
1830,0
766,0
2075,1
121,1
1771,0
2167,1
1249,0
1072,0
1404,0
1154,0
694,1
264,1
2103,0
972,0
1588,0
2085,0
1283,0
1768,0
1028,0
1625,0
2175,1
1925,0
1772,0
580,0
1691,0
865,0
1296,0
1468,0
2196,0
185,0
339,0
34,0
1900,0
1784,1
1188,0
270,1
211,0
1689,0
425,0
2168,0
1201,0
